"","Estimate","Std. Error","z value","Pr(>|z|)","Odds_Ratio"
"(Intercept)",1.22993049582694,0.0997494890841366,12.3301934387806,6.22969946727859e-35,3.421
"sector_collapsedIndustrie și Inginerie",0.13758848396015,0.0890024418012851,1.54589560887939,0.122129781230323,1.148
"sector_collapsedServicii financiare, bancare și investiții",0.564089486346952,0.12096438486033,4.66326916801397,3.1122524629542e-06,1.758
"sector_collapsedSănătate și farma",0.299907805146079,0.111437626835062,2.69126159326752,0.0071182354758962,1.35
"sector_collapsedTelecomunicații și tehnologia informației",0.185523110007631,0.101162780402263,1.83390679131117,0.0666678313015689,1.204
"company_size10 to 49 employees",-0.167644876801096,0.0814013659936975,-2.05948481029269,0.0394478186589941,0.846
"company_size50 to 249 employees",-0.377111916378478,0.106723512888782,-3.5335410742286,0.000410032372253439,0.686
"company_size250 or more employees",-0.91157572754596,0.164373674153927,-5.54575258013834,2.92692473205938e-08,0.402
"turnover_trendIncreased",-0.238246493692938,0.0942425656351403,-2.5280136643914,0.011470988737909,0.788
"turnover_trendRemained unchanged",-0.124520750878676,0.103001759698155,-1.20891867521081,0.226694090653534,0.883
